[2024-03-08T10:16:00,992][INFO ][logstash.inputs.jdbc     ][main][666bd71cddc0ff8828eb8ea08448b0a5cffc36e546222a6d33c543cf696e8fa4] (0.003799s) SELECT * FROM element_stock_reactif 
[2024-03-08T10:17:00,589][INFO ][logstash.inputs.jdbc     ][main][d8a7fadba439d2a49d57371c460ed9d79ecd272fcb4a4e1889a43c80bffc6912] (0.001010s) SELECT * FROM stockreactif 
[2024-03-08T10:17:00,596][INFO ][logstash.inputs.jdbc     ][main][666bd71cddc0ff8828eb8ea08448b0a5cffc36e546222a6d33c543cf696e8fa4] (0.003289s) SELECT * FROM element_stock_reactif 
[2024-03-08T10:17:00,902][INFO ][logstash.inputs.jdbc     ][main][580f89da1beb3c6295e033ab6bb84311e3659c62af63f992c91f3d53dff25b35] (0.001469s) SELECT * FROM historique_stock_reactif 
[2024-03-08T10:17:00,903][INFO ][logstash.inputs.jdbc     ][main][3f086a5cfca6f08cc5bd3a2585adada4a88d5e53a07704d261e2a16808f1dd58] (0.002717s) SELECT * FROM piecejoints
[2024-03-08T10:17:00,904][INFO ][logstash.inputs.jdbc     ][main][c83e8d1f6b7804752a187f901724097a9a068cb167d1e38d4139fec6dcb35702] (0.004377s) SELECT * FROM resultatatb 
[2024-03-08T10:17:20,680][INFO ][logstash.inputs.jdbc     ][main][fa5ffd8b20df9e8eaffdd3650df469fe1d612eb13afe6ee06dc45a3bda7f6a04] (0.002640s) SELECT * FROM typeelementresult  
[2024-03-08T10:17:22,124][INFO ][logstash.inputs.jdbc     ][main][15ccc3adce0b72647630556b42730bf5f14e5dc03f1312f8384c62f405324554] (0.004888s) SELECT * FROM analyse_elementanalyse
[2024-03-08T10:17:38,368][INFO ][logstash.inputs.jdbc     ][main][1a44522bdef834d30e4dbd0421149a117efb164b4078d385d6b8001292b10a94] (0.006535s) SELECT * FROM analyse
[2024-03-08T10:17:38,369][INFO ][logstash.inputs.jdbc     ][main][08f05123f4cb903c888fc00518c37a2f8cf98ff22c341aacb31b686836981769] (0.002604s) SELECT * FROM interpretation  
[2024-03-08T10:18:00,062][INFO ][logstash.inputs.jdbc     ][main][3f086a5cfca6f08cc5bd3a2585adada4a88d5e53a07704d261e2a16808f1dd58] (0.000429s) SELECT * FROM piecejoints
[2024-03-08T10:18:00,183][INFO ][logstash.inputs.jdbc     ][main][666bd71cddc0ff8828eb8ea08448b0a5cffc36e546222a6d33c543cf696e8fa4] (0.003003s) SELECT * FROM element_stock_reactif 
[2024-03-08T10:18:00,063][INFO ][logstash.inputs.jdbc     ][main][c83e8d1f6b7804752a187f901724097a9a068cb167d1e38d4139fec6dcb35702] (0.000975s) SELECT * FROM resultatatb 
[2024-03-08T10:18:00,179][INFO ][logstash.inputs.jdbc     ][main][d8a7fadba439d2a49d57371c460ed9d79ecd272fcb4a4e1889a43c80bffc6912] (0.003488s) SELECT * FROM stockreactif 
[2024-03-08T10:18:00,063][INFO ][logstash.inputs.jdbc     ][main][580f89da1beb3c6295e033ab6bb84311e3659c62af63f992c91f3d53dff25b35] (0.001950s) SELECT * FROM historique_stock_reactif 
[2024-03-08T10:18:20,701][INFO ][logstash.inputs.jdbc     ][main][096f89540caf784209fce40cad1ab279fa640c05386a467f9b62d201a1ef20a5] (0.000883s) SELECT * FROM automatesexamen 
[2024-03-08T10:18:20,701][INFO ][logstash.inputs.jdbc     ][main][5447fc8cbf3c06871ccee0bf175a2d6be6122742c2e86a3266e23acc51d15772] (0.000868s) SELECT * FROM automate
[2024-03-08T10:18:20,702][INFO ][logstash.inputs.jdbc     ][main][7c56dfe22fbd8bf0973397811da6942a0b64b409c232562102a88f6ef4c47adf] (0.001486s) SELECT * FROM parametres  
[2024-03-08T10:18:20,702][INFO ][logstash.inputs.jdbc     ][main][6313eec7ec89ecfa017130fdce37ff9bdc876487edd7bd1b9158722c8c071197] (0.002508s) SELECT * FROM catagorie 
